Mistero,Segreto,Oscuro,Rivelare,Giallo,Sapere
Volante,Polizia,Automobile,Macchina ,Guidare ,Uccello
Asilo,Bambini,Politico,Suore,Nido,Scuola
Tulipano,Fiore,Prato,Profumo ,Olanda,Colorato
Compagnia,Persone,Insieme,Solo,Amicizia,Stare
Dama,Scacchi,Pedina,Bianco,Nero,Bianco
Analisi ,Logica,Matematica,Sangue,Statistica,Ingegneria 
Pesce,Canna,Barca,Acqua,Mare,Rete
Gladiatore,Roma,Film,Colosseo ,Combattere,Arena
Clorofilla,Verde,Piante,Fotosintesi,Foglie,Linfa
Riordinare,Casa,Mai,Camera,Sempre,Ordine
Letto ,Piazza,Lenzuola,Cuscino,Divano,Dormire
Sega,Legno,Porno,Falegname,Attrezzo,Alberi
Puntura,Droga,Siringa,Iniezione,Prelievo,Ago
Carta,Credito,Igienica ,Scala,Mano,Scrivere
Ritardato,Disabile,Speciale,Mentale,Stupido,Indietro 
Oscurità ,Buio,Nero,Luce,Paura ,Notte
Spongebob,Patrick,Spugna,Squiddy,Nikelodeon,Giallo
Simpson ,Bart,Meggie,Marge,Homer,Cartone animato
Sito,Internet,Pc,Luogo,Web,Online 
Cattedra,Scuola ,Professore,Classe,Insegnante ,Aula
Micheal Jordan ,Bulls,Nba,Basket,Abbigliamento ,Pallacanestro 
Spiderman ,Uomo ragno,Ragnatela,Arrampicarsi,Marvel,Eroe
Arricchire,Denaro,Incrementare ,Guadagnare ,Accrescere ,Ricco
Cuscino,Dormire,Letto,Testa,Appoggiare,Morbido
Maradona,Calcio,Napoli,Argentina,Mano,Mondiale
Istruzione,Cultura,Scuola,Ministro,Laurea,Pubblica
Pirandello ,Il fu Mattia Pascal,Scrittore,Letteratura ,Italiano,Maschera
Dante,Divina Commedia,Inferno,Cammin,Paradiso,Poeta
Informatica,Computer,Pc,Ingegneria ,Programmazione,Binario
Scoreggia,Puzza ,Aria,Culo,Schifo,Cacca
Porno,Sito,Masturbarsi ,Nudo ,Sesso,Guardare
Accoltellare,Ferire,Uccidere,Posata,Lama,Omicidio
Gravità ,Fatto,Newton,Mela,Accaduto,Grave
Stima,Valore,Apprezzamento,Ammirazione,Rispetto,Valore
Panorama,Giornale,Guardare,Vedere,Montagna ,Paesaggio
Decameron,Boccaccio,Letteratura,Novelle,Scrittore,Giornate
Terra,Pianeta,Zappare,Mare,Vivere,Piedi
Io,Tu,Sono,Nome,Persona,Singolare
Scuola ,Insegnamento,Imparare,Maestra,Alunno,Lavagna
Nebbia,Vedere,Nord,Pianura,Fari,Macchina
Droga,Marjuana ,Cocaina,Lsd,Eroina,Sballo
Calcio,Goal,Stadio,Tifosi ,Palla,Sport
Imprevedibile ,Capire ,Pensare,Sapere,Persona,Decidere
Cin Cin,Salute,Brindisi,Bicchieri ,Calici,Champagne 
Amico,Compagno,Migliore,Affetto,Tesoro,Nemico
Onda,Mare,Schiuma,Vento,Surf ,Anomala
Carbonio ,Chimica,Biossido,Organico,Elemento,Fibra 
Relax,Riposo,Stress,Pausa ,Stendersi,Rilassarsi
Pirlo,Andrea ,Milan,Juve,Punizioni,Goal
Ronaldo,Cristiano,Calcio,Real Madrid,Pallone,Portogallo
Nadal,Tennis ,Wimbledon ,Campione,Racchetta ,Spagna
Berlusconi,Silvio,Forza Italia,Politica,Mediaset,Milan
Mussolini,Fascismo,Dittatura,Fascio,Leggi,Politica